     ID,X,Y
335,14.3,11.4
336,22.5,15.2
337,35.4,16
338,42.7,17.5
339,47,18.5
340,41.2,22.4
341,37.2,25.8
342,39.7,26.1
343,34,1.6
344,26,10.7
345,35.5,11.7
346,18.3,13.4
347,35.3,14.1
348,26.6,18
349,59.3,25.4
350,16.5,30.6
351,35.4,2
352,15.6,5.3
353,24.9,8.2
354,31.1,11.7
355,16.3,15.9
356,55,17.2
357,29.7,29.9
358,21.1,1.8
359,18.2,2.6
360,27.8,8.5
361,29.7,10.1
362,15.3,16.3
363,48.5,17
364,21.9,24.1
365,34.1,12.3
366,57.4,19.5
367,15.7,11.4
368,32.1,25.8
369,58,23.5
370,39.4,25.4
371,16.1,6.1
372,20.6,27.8
373,18.3,28.5
374,53.1,22
375,22.6,3
376,19.4,16.3
377,30.5,7.6
378,31.7,1
379,33,0.4
380,16.3,11.1
381,20.5,7.4
382,47.6,25.1
383,35.3,25.1
384,54,21.8
385,41.5,21.5
386,34,12.6
387,24.4,25.5
388,50.3,16.6
389,21,16.4
390,58.9,10.8
391,31.6,0.2
392,42,24.9
393,50.9,22.7
394,20.9,19.5
395,37.6,19.6
396,13.5,18.1
397,17.5,12
398,50.5,9.6
399,16.4,9.4
400,26.2,8.4
401,22,6.2
402,19.3,4.9
403,40.4,25.8
404,46.9,24.6
405,36.5,24.1
406,50,23.9
407,38.9,23.8
408,17.3,23.3
409,40.8,22.7
410,58.4,19.9
411,31.5,15.4
412,26,13.5
413,24.5,12
414,36.5,11.9
415,24,8.2
416,57.1,7.2
417,39.1,6.3
418,20.9,5.8
419,30.4,3.5
420,21.5,0.3
421,23.7,27.7
422,35.2,27
423,24.5,27
424,17.2,27.4
425,23.5,26.6
426,32.6,26.1
427,19.4,26.4
428,58.4,25.3
429,35.9,24.9
430,34.8,24.7
431,42,23.9
432,18.6,23.2
433,26.2,23
434,51.4,21.6
435,40.8,20.9
436,46.8,21.2
437,58.9,19.8
438,53.4,19.3
439,59.1,16.1
440,42.4,16.1
441,16.3,15.5
442,59.2,14.1
443,29.4,13.8
444,29.6,12.7
445,18.1,11.8
446,40.9,11.2
447,19.9,10.8
448,17.5,10.8
449,41.5,10.7
450,26.2,9.1
451,19.8,8.9
452,38.3,7
453,17.1,7.1
454,20.3,6.5
455,26.2,3.6
456,20,3
457,34.5,2.7
458,23,30.7
459,21.7,27.6
460,36.5,27.5
461,33.9,25.6
462,27.2,26.2
463,46.4,24.7
464,41.4,24.1
465,19.5,23.6
466,50.4,23.3
467,32.2,23.3
468,40.4,23.4
469,25.9,21.4
470,42.3,21.9
471,47.5,21.9
472,33.8,21.7
473,54.1,19.7
474,32.6,19.8
475,55.2,18.8
476,18.6,18.7
477,55.8,17.3
478,42,16.8
479,17,16.8
480,44.4,16.7
481,26.2,16.5
482,19.2,15.6
483,30.8,16
484,13.5,13.9
485,13.6,12.3
486,16.8,12.3
487,58.1,12.3
488,51,11.5
489,13.6,11.4
490,24.1,10.1
491,13.9,9.5
492,18.1,8.4
493,25.8,6.1
494,32.4,5.5
495,26.5,6
496,14.3,5.3
497,21.2,4.7
498,28.9,3.9
499,19.5,1.9
500,32,1.9
501,37.9,26.8
502,33.6,26.4
503,50.2,26.4
504,48.6,23.1
505,30,23.1
506,43.2,22.7
507,15.3,22.1
508,17.4,21.7
509,15.6,21.3
510,32.2,21.2
511,34.1,20.9
512,19.3,20.7
513,14.9,19.4
514,47.7,19.6
515,51.3,18.9
516,27.3,18.5
517,24.2,18.8
518,10.8,18
519,58.4,17.4
520,12.3,17.4
521,12,17.6
522,37,17
523,46.6,16.6
524,46.1,16.9
525,49.3,15.7
526,14.8,15.2
527,30.2,14.8
528,10.9,14.8
529,22.1,14.8
530,20.1,14.7
531,56.1,14
532,52.5,14
533,16.5,13.9
534,49.7,13.6
535,12,13.9
536,15.9,13.4
537,55.6,13.4
538,22,12.4
539,31.7,12.7
540,26.5,12.6
541,12.6,10.8
542,16,10.3
543,23,10
544,10.8,9.8
545,14.7,9.6
546,30.4,9.6
547,26.2,9.7
548,52.2,9.2
549,51.4,9
550,13.7,8
551,26.7,7.8
552,17.6,7.9
553,29.8,6.8
554,19.4,6
555,22.1,4.9
556,16.2,4.7
557,18.4,4.1
558,31,3.5
559,32,2.7
560,28.6,2.7
561,24.4,2
562,34.7,0.2
563,22.7,30.1
564,26.2,29.5
565,17.6,28.8
566,26.6,28.5
567,25.8,29.1
568,30.1,27.8
569,33.2,27.7
570,38.9,27.3
571,19.5,27.2
572,17.5,26.5
573,48.5,24.8
574,17.2,25.2
575,14.7,24.5
576,34.1,24.8
