ID,X,Y
336,22.4,36.8
337,11.3,37.3
338,4.7,37
339,29.2,42.4
340,46.8,43.1
341,14.1,43.9
342,31.1,0
343,16.1,3.2
344,5.8,3.6
345,6.4,5.3
346,37.1,5.6
347,56.7,13.8
348,33.3,16.6
349,37.4,20.1
350,59.4,24.3
351,20.1,24.1
352,25.5,25.1
353,33.4,27.1
354,13.1,28
355,4,28.1
356,33.3,28.4
357,37.2,28.5
358,2.8,29.8
359,36.9,31.7
360,29.7,32.1
361,28,34.5
362,38.8,34.8
363,24.6,35.8
364,18.4,36.6
365,14.6,37
366,3.8,36.7
367,10.3,37.3
368,13.5,38.7
369,30.8,39.6
370,43.7,41.1
371,20.1,42.5
372,59.4,43.8
373,21.8,0.7
374,44.1,5.7
375,10.1,6.3
376,39.9,6.4
377,11.4,8.5
378,1.8,11
379,27.8,12.1
380,6.8,15.6
381,7.2,18.2
382,35.8,18.5
383,3.9,20
384,52.6,20.1
385,55.3,21.4
386,53.5,24
387,6.9,24.1
388,3,24.9
389,34.7,25.7
390,52.3,26.3
391,31.5,26.4
392,6.3,26.5
393,29.1,27.2
394,31.8,27.3
395,49,27.7
396,24.9,27.7
397,25.7,28.8
398,57.6,28.5
399,58,30.4
400,7.1,30.8
401,27.1,31.1
402,15,32.5
403,27.4,33.3
404,1.9,34
405,26.6,35.5
406,44.4,37.7
407,50.8,37.8
408,20.7,40.1
409,28.1,39.9
410,53.6,40.5
411,18.8,41.2
412,5.7,41.3
413,52.5,41.8
414,28.8,41.9
415,57.8,43
416,32.2,2.8
417,18.8,4.5
418,34.3,5.9
419,22.1,6.7
420,29.3,10.6
421,8.1,11.2
422,9.1,11.6
423,2,13
424,6.3,14.3
425,25.2,14.6
426,19.3,15
427,21.8,16.7
428,43.3,18.1
429,54,18.2
430,30.9,18.6
431,37.9,19.1
432,6.8,19.4
433,13.9,20.6
434,51.8,21.7
435,7.4,22.6
436,32.3,25.3
437,16.4,26.5
438,4.5,26.4
439,39.3,26.8
440,8.3,26.8
441,14.7,31.1
442,26.7,31.9
443,40.8,32.2
444,35.1,32.5
445,3.9,34
446,52,35.9
447,19.7,35.6
448,12.7,36
449,28.2,37.5
450,6.7,38.2
451,52.1,39.5
452,46.9,39.7
453,8.2,39.3
454,25.4,40.2
455,2.7,39.9
456,40.2,42.2
457,52.6,42.5
458,25.7,43.9
459,50.8,44.1
460,42,12
461,50,25.6
462,24.3,27.5
463,10.8,20
464,2.9,9.4
465,6.6,29.5
466,25,41.9
