Year,Wisconsin
2017,905
2016,925
2015,866
2014,746
2013,660
2012,809
2011,815
2010,782
2009,690
2008,637
2007,549
2006,546
2005,467
2004,435
2003,373
2002,335
2001,327
2000,257
1999,248
1998,205
1997,178
1996,148
1995,99
1994,83
1993,57
1992,40
1991,45
1990,40
1989,34
1988,31
1987,28
1986,18
1985,16
1984,15
1983,17
1982,19
1981,27
1980,21
1979,25
