year,count
1970,59
1989,208
1990,212
1991,276
1992,313
1993,307
1994,360
1995,404
1996,430
1997,502
1998,433
1999,604
2000,504
2001,555
2002,551
2003,672
2004,743
2005,814
2006,790
2007,1124
2008,1073
2010,1004
2011,1154
2012,1105
2013,1272
