Year,Count
1977,70
1978,67
1980,74
1982,116
1984,345
1987,370
1988,354
1989,582
1990,668
1991,435
1992,820
1993,1045
1994,1188
1995,1402
1996,1320
1997,1458
1998,1874
1999,1756
2000,1521
2001,3180
2002,2297
2003,2777
2004,2931
2005,
2006,
2007,
2008,4713
2009,
2010,
2011,
2012,
2013,6773
